,en,cs,pl,de
pageBase.PID settings,PID settings,,,
pageBase.Activity log,Activity log,,,
pageBase.Create reservation,Create reservation,,,
pageBase.Create contract,Create contract,,,
pageBase.Add Features,Add Features,,,
pageBase.Reservation,Reservation,Rezervace,Rezerwacja,Reservierung
pageBase.Reservations,Reservations,Rezervace,Rezerwacje,Reservierungen
pageBase.Clients,Clients,,,
pageBase.Client & Users,Client accounts,,,
pageBase.NewClient,New Client,,,
pageBase.NewContract,New Contract,,,
pageBase.EditClient,Edit Client,,,
pageBase.New Reservation,New Reservation,Nová rezervace,Nowa rezerwacja,Neue Reservierung
pageBase.NewGarage,Setup New Garage,Vytvoření nové garáže,PL: pageBase.NewGarage,DE: pageBase.NewGarage
pageBase.newPricing,New pricing,,,
pageBase.Pricings,Edit pricing,,,
pageBase.newRent,New rent,,,
pageBase.Rents,Edit rent,,,
pageBase.Garages,Garages,Garáže,Garaże,Garagen
pageBase.Garage,Garage,,,
pageBase.Cars,Cars,,,
pageBase.Profile,Profile,,,
pageBase.Users,Users,Uživatelé,Użytkownicy,Benutzer
pageBase.Logout,Logout,Odhlášení,Wyloguj się,Ausloggen
pageBase.notifications,Notifications,Upozornění,Powiadomienia,Mitteilungen
pageBase.error,Error,Chyba,Błąd,Fehler
pageBase.success,Success,,,
pageBase.inviteUser,Invite new user,,,
pageBase.dashboardHint,TODO: Dashboard hint,,,
pageBase.issuesHint,TODO: Issues hint,,,
pageBase.analyticsHint,TODO: Analytics hint,,,
pageBase.invoicesHint,TODO: Invoices hint,,,
pageBase.newContractHint,TODO: New contract hint,,,
pageBase.ReservationButtonHint,TODO: reservation button hint,,,
pageBase.mrParkitIntegrationHint,TODO: mrParkitIntegration hint,,,
pageBase.goPublicHint,TODO: goPublic hint,,,
pageBase.financeHint,TODO: finance hint,,,
pageBase.financePaypalHint,TODO: Paypal hint,,,
pageBase.financeCSOBHint,TODO: CSOB hint,,,
pageBase.pidSettingsHint,TODO: pidSettings Hint,,,
pageBase.activityLogHint,TODO: activityLog Hint,,,
pageBase.reservationsHint,Here you have list of all reservations within your client account.,Zde najdeš všechny rezervace pro Váš účet.,Tutaj znajdziesz wszystkie swoje rezerwacje.,DE: Here you have list of all reservations within your account.
pageBase.newReservationHint,"You can make a new reservation here. Please, first select user and the garage, then dates and eventually pick parking place. Voilá.","Zde můžeš vytvořit novou rezervaci. Nejprve prosím vyber uživatele a garáž, poté datum a eventuelně parkovací místo. Voilá.","Tutaj możesz dokonać nowej rezerwacji. Najpierw wybierz użytkownika i garaż, a następnie datę i miejsce parkingowe. Voilá!","DE: You can make a new reservation here. Please, first select user and the garage, then dates and eventually pick parking place. Voilá."
pageBase.newReservationOverviewHint,TODO: New reservation overview hint,,,
pageBase.garagesHint,Here is a list of all garages registered within your client account. When selected you can edit details or manage which parking places of the garage are assigned to which client account.,"Zde najdeš seznam všech garáží pro tvůj účet. Po vybrání garáže můžeš upravovat, která parkovací místa patří ke kterému zákaznickému účtu.",Tutaj znajdziesz listę wszystkich garaży dostępnych dla Twojego konta. Po wybraniu garażu możesz edytować szczegóły oraz zarządzać miejscami parkingowymi przypisanymi do Twojego konta.,DE: Here is a list of all garages registered within your account. When selected you can edit details or manage which parking places of the garage are assigned to which client account.
pageBase.newGarageHint,"Create new garage. Set the name and details, then follow by defining the floors and Parking places. Two input options are available. You can load each floorplan in form of SVG image with information about Parking places. (We can help you to create this floorplan - see our website for more information) Second option is to define range of number for each level.","Vytvoř novou garáž. Zadej název a detaily, dále pokračuj definováním podlaží a parkovacích míst. Tyto informace jde zadat dvěma způsoby. Každý floorplan lze načíst ze souboru SVG s informacemi o parkovacích místech (s vytočením souboru Vám můžeme pomoci, více informací naleznete na našich stránkách). Druhá možnost je každému patru definovat rozsah čísel.","Utwórz nowy garaż. Wprowadź nazwę i szczegóły, a następnie wybierz piętro i miejsce parkingowe. Informacje wprowadzić możesz za pomocą dwóch sposobów. Plan każdego piętra (floorplan) możesz wczytać z pliku SVG z informacjami o miejscach parkingowych (możemy Ci w tym pomóc - szczegóły na naszej stronie). Drugą możliwością jest zdefiniowanie numerów miejsc, które znajdują się na konkretnym piętrze.","DE: Create new garage. Set the name and details, then follow by defining the floors and Parking places. Two input options are available. You can load each floorplan in form of SVG image with information about Parking places. (We can help you to create this floorplan - see our website for more information) Second option is to define range of number for each level."
pageBase.newGarageFloorsHint,TODO: New garage floors Hint,,,
pageBase.newGarageOrderHint,TODO: New garage order Hint,,,
pageBase.newGarageSubscribtionHint,TODO: New garage subscribtion Hint,,,
pageBase.newGarageGatesHint,TODO: New garage gates Hint,,,
pageBase.garageClientsHint,Here you can manage which Parking  places are assigned to which Client account within selected garage. Just select Client account to see the plan of the garage and available places. Be aware garage might have more levels. Select desired level by the buttons on the right side.,,,
pageBase.clientsHint,"In this section you can manage Client accounts. Client account is a unit that gathers information about the client, its users, parking places they are allowed to use and such. Select an account to show action buttons for ""edit"" and ""manage users""",,,
pageBase.newClientHint,"Here you are creating a new Client account. Client account is a unit that gathers information about the client, its users, parking places they are allowed to use and such. You will be able to set these in corresponding sections of the system.",,,
pageBase.clientUsersHint,"This section allows for management of users of a particular Client account. By selecting a user you can see and setup user rights. You can as well invite new users to this selected Client account. Sent invitations, that are waiting for the confirmation are shown in the ""Pending invitations"" Section below",,,
pageBase.settingsHint,In this Settings section you are able to set your own preferences. Set your desired language. Switch on and off visbility of these blue boxes with help thru all application.,Zde se můžeš nastavit jazyk aplikace a pak zde můžeš zapnout nebo vypnout zobrazování těchto okýnek s nápovědou v celé aplikaci.,Ustawienia,Einstellungen
pageBase.usersHint,Here you have a list of all known users. Select a user to see Client accounts membership.,Zde nalezneš seznam všech uživatelů. Po zvolení uživatele se zobrazí jeho členství v zákaznických účtech.,"Tutaj znajdziesz listę wszystkich użytkowników. Wybierz użytkownika, aby zobaczyć jego członkowstwo w kontach klienta.",DE: Here you have a list of all known users. Select a user to see Client accounts membership.
pageBase.allKnownUsers,All known users,Všichni známí uživatelé,Wszyscy znani użytkownicy,Alle bekannten Benutzer
pageBase.editClientHint,Here you can edit Client account details and its name.,,,
pageBase.notificationsHint,Here are displayed all notifications that need to be resolved.,"Zde se zobrazují všechna upozornění, na které je potřeba odpovědět.",PL: pageBase.notificationsHint,DE: pageBase.notificationsHint
pageBase.inviteUsersHint,"Invite new user to connect with selected Client Account. Please provide E-mail and send the invitation. After user accepts the invitation, he or she becomes automatically member of the selected Client Account.",,,
pageBase.addFeaturesHint,Here you can add functionality to your system. TODO: add features hint,,,
pageBase.addFeatures,Add features,,,
pageBase.newAccountHint,Here you can create new account that will store your money. TODO: new account hint,"Zde můžeš vytvářet zákaznické účty. Ty v sobě obsahují informace o zákazníkovi, jeho uživatelích, k nim přiřazeným parkovacím místům atp. Toto vše lze nastavit v patřičné sekci systému.","Tutaj utworzyć możesz konto klienta. Konto zawiera informacje o kliencie, użytkownikach, przyporządkowanych im miejscach parkingowych itp. Ustawienia znajdziesz w odpowiedniej sekcji systemu.","DE: Here you are creating a new Client account. Client account is a unit that gathers information about the client, its users, parking places they are allowed to use and such. You will be able to set these in corresponding sections of the system."
pageBase.editAccountHint,Account properties editation. TODO: edit account hint,Zde můžete změnit údaje a název Klientského účtu.,PL: pageBase.editAccountHint,DE: pageBase.editAccountHint
pageBase.accountsHint,Here you can see all your account. TODO: accounts hint,"V této sekci můžeš spravovat zákaznické účty. V zákaznickém účtu nalezneš informace o zákazníkovi, jeho uživatelích, k nim přiřazeným parkovacím místům atp. Po zvolení účtu se zobrazí tlačítka pro editaci a správu uživatelů.","W tej sekcji możesz zarządzać kontami klienta. Znajdziesz w nich informacje o kliencie, użytkownikach, przyporządkowanych do nich miejscach parkingowych itp. Po wybraniu konta pojawią się przyciski umożliwiające edytowanie i zarządzanie użytkownikami.","DE: In this section you can manage Client accounts. Client account is a unit that gathers information about the client, its users, parking places they are allowed to use and such. Select an account to show action buttons for ""edit"" and ""manage users"""
pageBase.accounts,Accounts,,,
pageBase.newAccount,New account,,,
pageBase.editAccount,Edit account,,,
pageBase.carUsersHint,Here you can manage people using the cars. TODO: user car hint,,,
pageBase.newCarHint,Here you can create new car. Creating new reservation will be easier than. TODO: new car hint,,,
pageBase.editCarHint," Here you can edit car properties. TODO: edit car hint",,,
pageBase.carsHint,This is list of all cars assigned to you.+ TODO: cars hint,,,
pageBase.cars,Cars,,,
pageBase.newCar,New car,,,
pageBase.editCar,Edit car,,,
pageBase.OccupancyOverview,Occupancy overview,,,
pageBase.OccupancyOverviewHint,TODO: Occupancy overview hint,,,
pageBase.EditGarage,Edit garage,,,
pageBase.EditGarageHint,TODO: Edit garage hint,,,
pageBase.Occupancy,Occupancy,,,
pageBase.Invoices,Invoices,,,
pageBase.tableView,table view,,,
pageBase.cardView,card view,,,
pageBase.marketing,Marketing,,,
pageBase.newMarketing,New marketing,,,
pageBase.editMarketing,Edit marketing,,,
pageBase.garageMarketingHint,Here you can manage marketing for your garage. TODO: Change this,,,
pageBase.garageNewMarketingHint,Here you can setup new marketing. TODO: Change this,,,
pageBase.garageEditMarketingHint,Here you can manage edit marketing. TODO: Change this,,,
pageBase.garageNewPricingHint,Here you can set up new reservations pricing. TODO: New pricing Hint,,,
pageBase.garageEditPricingHint,Here you can edit pricing properties. TODO: Edit pricing hint,,,
pageBase.garageNewRentHint,Here you can set up new rent for your places. TODO: New rent hint,,,
pageBase.garageEditRentHint,Now you can edit rent properties. TODO: Edit rent hint,,,
pageBase.garageAddClientHint,Here you can add client to garage managemat page. TODO: add client to management hint,,,
pageBase.garageGarageUsersHint,Here you can manage who can manage your garage. TODO: Garage users management,,,
pageBase.EditUserHint,Here it is possible to change information about yourself.,,,
pageBase.unredNotifications.one,You have one unread notification,,,
pageBase.unredNotifications.other,You have %(count)s unread notifications,,,
pageBase.analytics,Analytics,,,
pageBase.garageTurnover,Garage turnover,,,
pageBase.reservations,Reservations,,,
pageBase.places,Places,,,
pageBase.payments,Payments,,,
pageBase.gates,Gates,,,
pageBase.analyticsGarageTurnoverHint,TODO: GarageTurnover Hint,,,
pageBase.analyticsreservationsHint,TODO: reservations Hint,,,
pageBase.analyticsplacesHint,TODO: places Hint,,,
pageBase.analyticspaymentsHint,TODO: payments Hint,,,
pageBase.analyticsgatesHint,TODO: gates Hint,,,
newReservation.selectGarage,Select garage *,Vyber garáž,Wybierz garaż,Wählen Sie eine Garage
newReservation.selectUser,Select user *,Vyber uživatele,Wybierz użytkownika,Wählen Sie einen Benutzer aus
newReservation.selectClient,Select client,,,
newReservation.selectCar,Select car *,,,
newReservation.begins,Begins,Začíná,Od,Beginnt
newReservation.invalidaDate,Invalid date,neplatné datum,Niepoprawna data,Ungültiges Datum
newReservation.invalidPlace,Invalid place,Neplatné místo,Niepoprawne miejsce,Ungültiger Platz
newReservation.invalidaValue,Invalid value,Neplatná hodnota,Niepoprawna wartość,Ungültiger Wert
newReservation.ends,Ends,Končí,Do,endet
newReservation.duration,duration,Doba,Okres,Dauer
newReservation.date,date,Datum,Data,Datum
newReservation.place,Place,Místo,Miejsce,Ort
newReservation.auto,auto,automaticky,automatycznie,Auto
newReservation.Auto,Auto,Automaticky,Automatycznie,Auto
newReservation.now,now,nyní,teraz,jetzt
newReservation.fail,Reservation error,Chyba při vytváření rezervace,Podczas rezerwacji pojawił się błąd,Reservierungsfehler
newReservation.noAvailableGarages,There are currently no available garages where you can create reservation.,"Momentálně nejsou dostupné žádné garáže, kde můžete vytvořit novou rezervaci.","Obecnie nie ma żadnych dostępnych garaży, aby utworzyć nową rezerwację.","Zurzeit gibt es keine Garagen, in denen Sie reservieren können."
newReservation.licencePlate,Licence plate,,,
newReservation.licencePlateInvalid,Licence plate,,,
newReservation.licencePlatePlaceholder,1A2 1234,,,
newReservation.price,Price,,,
newReservation.onClientsExpenses,On clients expenses.,,,
newReservation.loadingGarage,Loading garage layout ...,,,
newReservation.creatingReservation,Creating reservation ...,,,
newReservation.updatingReservation,Updating reservation ...,,,
newReservation.redirecting,Redirecting ...,,,
newReservation.payingReservation,Paying reservation ...,,,
newReservation.paymentUnsucessfull,Payment was canceled and unsucessfull.,,,
newReservation.validtyCheck,Performing validity check ...,,,
newReservation.tokenInvalid,This transaction is no longer valid and reservation will be deleted.,,,
newReservation.creatingNewPayment,Creating payment ...,,,
clients.name,name,,,
clients.id,id,,,
clients.from,from,,,
clients.created,Created,,,
clients.users,users,,,
clients.token,client token,,,
clientUsers.name,username,,,
clientUsers.email,e-mail,,,
clientUsers.memberSince,member since,,,
clientUsers.phone,phone,,,
clientUsers.admin,is admin,,,
clientUsers.secretary,Secretary,,,
clientUsers.internal,Internal,,,
clientUsers.host,is host,,,
clientUsers.presetAs,Preset as,,,
clientUsers.removeClientUser,Are you sure you want to remove this user?,,,
clientUsers.pendingUsers,Pending invitations,,,
reservations.name,User,jméno,Imię i nazwisko,Name
reservations.from,from,od,od,Von
reservations.to,to,do,do,Nach
reservations.place,place,místo,Miejsce,Ort
reservations.client,Client,,,
reservations.licencePlate,licence plate,,,
reservations.state,state,,,
reservations.type,type,,,
reservations.creator,Creator,Vytvořil,utworzył,Schöpfer
reservations.garage,Garage,Garáž,PL: reservations.garage,DE: reservations.garage
reservations.createdAt,"created at: ",,,
reservations.updatedAt,"updated at: ",,,
reservations.removeReservationQuestion,Are you sure you want to remove this reservation?,Určitě chceš odstranit tuto rezervaci?,Czy na pewno chcesz usunąć rezerwację?,Möchten Sie diese Reservierung wirklich entfernen?
reservations.reservationApproved,Reservation was not approved yet.,,,
reservations.reservationNotPayed,Reservation was not payed.,,,
reservations.pay,Pay,,,
reservations.host,Host,,,
reservations.visitor,Visitor,,,
garages.clients,Clients,,,
garages.contracts,Contracts,,,
garages.reservations,Reservations,,,
garages.prices,Prices,,,
garages.cars,Cars,,,
garages.now,Now,,,
garages.setDate,Set date,,,
garages.client,Client:,,,
garages.contract,Contract:,,,
garages.priceType,Price type:,,,
garages.pricePerSpot,Price per spot:,,,
garages.12HourPrice,12 hour price:,,,
garages.dayPrice,day price:,,,
garages.weekPrice,week price:,,,
garages.monthPrice,month price:,,,
garages.weekendPrice,weekend price:,,,
garages.flatPrice,flat price:,,,
garages.reservationId,Reservation id:,,,
garages.driver,Driver:,,,
garages.type,Type:,,,
garages.period,Period:,,,
garages.licencePlate,Licence plate:,,,
garages.longterm,Longterm,,,
garages.shortterm,Shortterm,,,
garages.placeRent,Rents,,,
garages.rentName,Rent name,,,
garages.price,Price,,,
garages.places,Places,místa,miejsca,Platze
occupancy.selectClientClient,Select client,,,
occupancy.allClients,All clients,,,
occupancy.dayShortcut,D,,,
occupancy.weekShortcut,W,,,
occupancy.monthShortcut,M,,,
occupancy.places,place,,,
occupancy.selectGarage,Select garage,,,
occupancy.day,day,,,
occupancy.week,week,,,
occupancy.month,month,,,
occupancy.reservationsId,Reservations id:,,,
occupancy.driver,Driver:,,,
occupancy.client,Client:,,,
occupancy.type,Type:,,,
occupancy.period,Period:,,,
occupancy.licencePlate,Licence plact:,,,
garageUsers.noRights,You don't have rights to do that.,,,
garageUsers.admin,admin,,,
garageUsers.receptionist,receptionist,,,
garageUsers.security,security,,,
garageUsers.pendingUsers,Pending users,,,
garageUsers.removeGarageUser,Are you sure you want to delete this user?,,,
garageUsers.name,username,,,
garageUsers.email,e-mail,,,
garageUsers.memberSince,member since,,,
garageUsers.phone,phone,,,
garageManagement.garageManagement,Garage management,,,
garageManagement.begins,from,,,
garageManagement.ends,to,,,
garageManagement.invalidaDate,"Wrong date, format: 20.5.2016",,,
garageManagement.clients,Clients,,,
garageManagement.gates,Gates,,,
garageManagement.pricing,Pricing,,,
garageManagement.rent,Rent,,,
garageManagement.selectClient,Select clients,,,
garageManagement.selectGate,Select gates,,,
garageManagement.selectPricing,Select pricing,,,
garageManagement.selectRent,Select rent,,,
garageManagement.places,Places,,,
garageManagement.newClientId,Insert new client id,,,
garageManagement.newClientIdInvalid,Invalid id,,,
garageManagement.newClientIdPlaceholder,12354,,,
orderGarageModule.garageModule,Garage module,,,
orderGarageModule.garageModuleDescription,Garage modules will allow you to automatically open garage gate for your customers.,,,
orderGarageModule.shippingAddress,Shipping address,,,
orderGarageModule.invoiceAddress,Invoice address,,,
orderGarageModule.equalAddresses,Invoice address is equal to shipping address,,,
orderGarageModule.amount,Amount,,,
orderGarageModule.amountInvalid,Amount invalid,,,
orderGarageModule.amountPlaceholder,1,,,
orderGarageModule.placingOrder,Creating order ...,,,
orderGarageModule.orderSuccessfull,Order was sucessfully finished,,,
orderGarageModule.orderFailed,"Payment failed, try again later.",,,
newGarage.garage,Garage,,,
newGarage.places,Places,,,
newGarage.gates,Gates,,,
newGarage.order,Order,,,
newGarage.subscribtion,Subscribtion,,,
newGarage.selectImage,Select garage image,,,
newGarage.garagePicture,Garage picture,,,
newGarage.garageAddress,Garage address,,,
newGarage.garageFloors,Garage floors,,,
newGarage.addFloor,Add floor,,,
newGarage.maximumVehicleDimensions,Maximum vehicle dimensions,,,
newGarage.garageGates,Garage gates,,,
newGarage.addGate,Add gate,,,
newGarage.placePriority,Place priority,,,
newGarage.placePriorityDescription,Here you can set priority of your places. Places that you select first will have higher priority. Not selected places will have default priority and will not be prefered.,,,
newGarage.highestPriority,Highest priority >>,,,
newGarage.length,Length [m],,,
newGarage.height,Height [m],,,
newGarage.width,Width [m],,,
newGarage.weight,Weight [kg],,,
newGarage.invalidLength,Invalid length,,,
newGarage.invalidHeight,Invalid height,,,
newGarage.invalidWidth,Invalid width,,,
newGarage.invalidWeight,Invalid weight,,,
newGarage.lengthPlaceholder,5,,,
newGarage.heightPlaceholder,2.8,,,
newGarage.widthPlaceholder,3,,,
newGarage.weightPlaceholder,5000,,,
newGarage.tarif,Tarif:,,,
newGarage.summaryPlace,Places:,,,
newGarage.gsmModule,GSM module:,,,
newGarage.bookingPage,My own booking page:,,,
newGarage.price,Price:,,,
newGarage.subscribe,Subscribe,,,
newGarage.count,count,,,
newGarage.invalidNumber,Invalid number,,,
newGarage.countPlaceholder,1,,,
newGarage.garageTemlates,Try custom layouts,,,
newGarage.orderOwnLayout,Do you want to look this profesional? Order layout of your own garage! We will send you an email with instructions.,,,
newGarage.orderLayout,I want to order own layout!,,,
newGarage.customLayout,Custom layouts:,,,
newGarage.perMonth,per month,,,
newGarage.perLevel,per level,,,
newGarage.now,now,,,
newGarage.betterTarifMarketing,With this tarif you cannot offer your places to the public. Select Automation & Access tarif and earn money for parking!,,,
newGarage.newGarage,New garage,Nová garáž,Nowy garaż,Neue Garage
newGarage.name,Garage name *,Název garáže,Nazwa garażu,Name der Garage
newGarage.placeholder,Office center,Kancelářské centrum,Centrum biurowe,Bürozentrum
newGarage.gsmName,Name *,,,
newGarage.gsmNameInvalid,Name is invalid,,,
newGarage.gsmNamePlaceholder,John Doe,,,
newGarage.gsmModulesDescription,GSM modules will allow you to automatically open gate for your guests. The price is %(price)s per piece.,,,
newGarage.floorName,Level *,Podlaží,PL: Level,DE: Level
newGarage.placeholderFloor,%(index)s,1,1,1
newGarage.invalidFloorName,Invalid floor name,Neplatné název patra,Niepoprawna nazwa piętra,Ungültiger Name
newGarage.invalidName,Invalid garage name,Neplatný název garáže,Niepoprawna nazwa garażu,Ungültiger Garagename
newGarage.removeFloorRowQuestion,Are you sure you want to delete this floor?,Určitě chceš odstranit tento řádek?,Czy na pewno chcesz usunąć tę linijkę?,Möchten Sie diese Zeile wirklich löschen?
newGarage.removeGateRowQuestion,Are you sure you want to delete this gate?,,,
newGarage.street,Street and house number,,,
newGarage.city,City *,,,
newGarage.postalCode,Postal code *,,,
newGarage.country,Country *,,,
newGarage.state,State,,,
newGarage.invalidStreet,Invalid street,,,
newGarage.invalidCity,Invalid city,,,
newGarage.invalidPostalCode,Invalid postal code,,,
newGarage.invalidCountry,Invalid country,,,
newGarage.invalidState,Invalid State,,,
newGarage.from,N° from *,Čísla od,PL: newGarage.from,DE: newGarage.from
newGarage.to,N° to *,Čísla do,PL: newGarage.to,DE: newGarage.to
newGarage.invalidFloorFrom,Invalid from number,"Neplatné číslo ""Od""",PL: newGarage.invalidFloorFrom,DE: newGarage.invalidFloorFrom
newGarage.invalidFloorTo,Invalid to number,"Neplatné číslo ""Do""",PL: newGarage.invalidFloorTo,DE: newGarage.invalidFloorTo
newGarage.placeholderFloorFrom,3,3,3,3
newGarage.placeholderFloorTo,12,12,12,12
newGarage.streetPlaceholder,Martense Avenue 526,,,
newGarage.cityPlaceholder,New Jersey,,,
newGarage.postalCodePlaceholder,07666,,,
newGarage.statePlaceholder,Pennsylvania,,,
newGarage.countryPlaceholder,USA,,,
newGarage.lat,Latitude,,,
newGarage.invalidLat,Not valid number,,,
newGarage.latPlaceholder,50.08,,,
newGarage.lng,Longitude,,,
newGarage.invalidLng,Not valid number,,,
newGarage.lngPlaceholder,14.435,,,
newGarage.gateLabel,Gate %(index)s,,,
newGarage.gatePhone,Gate module phone,,,
newGarage.invalidGateLabel,Not valid label,,,
newGarage.invalidGatePhone,Not valid phone,,,
newGarage.placeholderGateLabel,Entrance gate,,,
newGarage.placeholderGatePhone,489234798,,,
newGarage.invalidPlaces,Format invalid,,,
newGarage.placesPlaceholder,"5-15, 17-20, 30, 32",,,
newGarage.lpgAllowed,LPG is allowed,,,
newGarage.placeNoGate,Not all places were assigned to gate. This can be changed later in garage management.,,,
newGarage.selectTarif,Select tarif *,,,
newGarage.selectAccount,Select account,,,
newGarage.selectAccountMandatory,Select account *,,,
newGarage.processing,Processing,,,
newClient.name,Client name,,,
newClient.placeholder,Company client,,,
newClient.invalidName,Invalid client name,,,
newClient.ICplaceholder,12345678,,,
newClient.DICplaceholder,CZ12345678,,,
newClient.IC,IČ,,,
newClient.invalidIC,invalid IČ,,,
newClient.DIC,DIČ,,,
newClient.invalidDIC,invalid DIČ,,,
inviteUser.selectUser,User email(s),,,
inviteUser.connectionExists,This user is already in this client account.,,,
inviteUser.sendingInvitation,"Loading, inviting user",,,
inviteUser.notificationSend,Success: Notification has been send to this user. Wait for him to accept.,,,
inviteUser.message,You have been invited to use clients account '%(client)s'!,,,
inviteUser.noRights,You don't have rights to do that.,,,
inviteUser.inviteMessage,Invitation message,,,
inviteUser.wrongMessage,Not nice enough,,,
inviteUser.optionalSettings,New user optional settings,,,
inviteUser.optionalSettingsText,Here you can set advanced options and prefill information for the users registration.,,,
inviteUser.nameLabel,Users full name (optional),,,
inviteUser.phoneLabel,Users phone number (optional),,,
inviteUser.noClients,You have currently no clients where you have admin rights.,,,
inviteUser.sucessfullyInvited,"%(success)s invitations were sucessfully send, %(failed)s failed.",,,
inviteUser.zero,no,,,
inviteUser.selectClient,Select client,,,
inviteUser.selectGarage,Select garage,,,
inviteUser.selectCar,Select car,,,
inviteUser.admin,admin,,,
inviteUser.secretary,secretary,,,
inviteUser.host,host,,,
inviteUser.internal,internal,,,
inviteUser.security,security,,,
inviteUser.receptionist,receptionist,,,
inviteUser.clientRights,Client rights,,,
inviteUser.clientRightsDesc,These rights will be only valid if client is specified,,,
inviteUser.GarageRights,Garage rights,,,
inviteUser.GarageRightsDesc,These rights will be only valid if garage is specified,,,
inviteUser.carRights,Car rights,,,
inviteUser.carRightsDesc,These rights will be only valid if car is specified,,,
notifications.user,user,Uživatel,Użytkownik nie istnieje.,Benutzer
notifications.email,e-mail,E-mail,E-mail,E-mail
notifications.phone,phone,Telefon,Telefon,Telefon
notifications.sent,sent,Odesláno,Wysłane,Gesendet
notifications.created,"created on ",,,
notifications.declineQuestion,Are you sure you want to decline?,Určitě chceš odmítnout?,Czy na pewno chcesz odrzucić?,Möchten Sie wirklich ablehnen?
notifications.expiration,"Notification will expire on ",Upozornění vyprší dne.,Powiadomienie ważne do,Die Benachrichtigung läuft ab
notifications.clientInvitationMessage,You have been invited to '%(arg1)s' client account. Do you want to accept?,,,
notifications.garageInvitationMessage,You have been invited to '%(arg1)s' garage. Do you want to accept?,,,
notifications.carInvitationMessage,You have been invited to use '%(arg1)s' car. Do you want to accept?,,,
notifications.clientUserDestroyed,"You have been removed from clients account '%(arg1)s', all reservations associated to this clients account were canceled.",,,
notifications.accountPlaceDestroyed,Reservation of yours has been canceled due to owner removed the place from used clients account.,"Tvoje rezervace byly stornovány, jelikož správce garáže odstranil parkovací místo z Klientského účtu.",PL: notifications.accountPlaceDestroyed,DE: notifications.accountPlaceDestroyed
notifications.past,past,,,
notifications.NotificationAccepted,"accepted on ",,,
notifications.NotificationDeclined,"declined on ",,,
notifications.current,current,,,
notifications.sais,says,vzkazuje,,
notifications.accpetReservationNotification,Host %(arg2)s would like to create a reservation on %(arg1)s expenses.,,,
